FamilyID	PX439<0>	PX356<1>	CBRIG<2>	CNIGO<3>	PX506<4>	<5>	CSINI<6>	<7>	<8>	CLATE<9>	JU1373<10>	NIC58<11>	<12>	<13>	<14>	<15>	CINOP<16>	CELEG<17>	<18>	<19>	<20>
OG0000162	-1	+1	+0	+0	-1	+0	+1	-4	+0	+5	+0	+1	-1	+2	+1	+0	-3	+0	+1	-2	+0
OG0000163	+0	+0	+2	+0	+0	+0	+0	+1	+0	-3	+0	+0	+1	+0	-1	+1	-5	+2	+0	+0	+0
OG0000165	+0	+2	-1	+0	+0	+1	-1	+0	+0	+1	+0	+0	+0	+1	-1	+0	-2	+4	+0	+0	+0
OG0000166	+0	+2	+0	+1	+0	+2	-2	+1	+2	-1	-1	+0	+0	+2	-1	+1	+0	+0	+1	-2	+0
OG0000167	+0	+0	+1	+0	-1	+1	-2	+0	+0	+0	+0	+0	-1	+0	-1	+0	+0	+0	+0	+1	+0
OG0000168	+0	+0	-4	+7	-1	+2	+2	+0	+0	-1	+0	+0	+1	-1	-1	+1	+3	-2	+0	+0	+0
OG0000169	+0	+0	-5	+0	+0	+0	+3	+0	+0	+0	+0	+1	+0	-1	+2	+0	-6	+3	+0	+0	+0
OG0000171	+0	+1	-2	+2	-1	+0	-1	+0	+0	+0	-6	+38	-1	+0	+2	-1	+2	-3	+0	-1	+0
OG0000173	+3	+0	-5	+1	-3	+6	+8	+0	+0	-1	+0	+0	+1	+0	-2	+2	-2	+0	+0	+0	+0
OG0000174	+0	+0	-4	+2	+1	+0	+7	-1	+0	-1	+0	+0	+2	+0	+0	+2	-1	+0	+1	-2	+0
OG0000175	-3	+0	+0	+2	+1	+0	+0	+1	+0	-1	+0	+0	+0	-1	+0	+0	-5	+2	+0	-1	+0
OG0000176	-2	+2	+0	+1	+0	+0	-1	+0	+0	+3	+0	-1	+0	+1	+0	+0	+0	+0	+0	-1	+0
OG0000177	+5	-1	+1	-4	+0	+0	+0	+0	+0	+0	+0	+0	+0	-2	+1	-1	+5	-3	+0	+0	+0
OG0000178	-1	+0	+1	-1	+1	+0	+5	+0	+0	-1	-1	+0	+3	-2	-1	+0	-5	+6	+0	+0	+0
OG0000179	-1	+0	+0	-1	+0	+0	+1	-3	+0	-1	+0	+0	-1	+0	+0	+0	+1	+0	+0	+1	+0
OG0000180	-1	+0	+2	-3	+1	+0	+4	+0	+0	+0	+0	+0	+0	-2	-1	+0	-6	+25	+0	+2	+0
OG0000182	+0	+1	-1	+4	-1	+2	-3	+1	+1	-1	-2	+0	+0	+2	-1	+0	-1	+2	+0	+0	+0
OG0000183	+0	-5	+3	-3	+0	-1	-3	+0	+0	+12	+0	+0	-1	+5	+0	+0	+0	-1	+1	-2	+0
OG0000184	+1	-1	-2	+0	+5	+0	+0	-1	+1	-1	-1	+2	+0	+0	+0	+0	+4	-2	+0	+0	+0
OG0000186	+0	+0	-3	+0	+0	+0	+5	-2	+0	+0	+0	+4	+0	-4	+2	-2	+8	-7	+0	+0	+0
