FamilyID	PX439<0>	PX356<1>	CBRIG<2>	CNIGO<3>	PX506<4>	<5>	CSINI<6>	<7>	<8>	CLATE<9>	JU1373<10>	NIC58<11>	<12>	<13>	<14>	<15>	CINOP<16>	CELEG<17>	<18>	<19>	<20>
OG0000178	2	3	9	7	4	3	13	8	3	2	3	4	8	3	4	5	0	11	5	5	5
OG0000179	2	1	0	0	3	2	6	0	2	0	25	29	3	2	23	3	2	0	4	2	4
OG0000180	10	11	0	6	11	10	6	6	10	6	1	1	6	7	1	6	1	0	2	1	2
OG0000181	6	5	5	5	7	6	6	5	6	5	6	5	6	6	6	6	1	8	6	6	6
OG0000182	4	4	0	4	2	4	1	2	3	3	1	43	2	3	6	3	3	0	4	3	4
OG0000183	7	8	4	5	6	7	4	5	6	6	4	4	5	6	4	5	3	9	5	5	5
OG0000184	7	3	6	0	10	7	0	3	9	21	4	4	3	9	4	4	1	0	4	1	3
OG0000186	2	3	0	12	2	2	6	5	2	1	5	4	5	2	5	5	17	0	5	5	5
OG0000187	2	6	6	8	6	6	7	7	6	6	3	4	7	6	4	6	2	4	5	4	5
OG0000188	4	5	1	11	2	4	8	5	3	2	2	2	5	3	2	3	5	0	3	3	3
OG0000190	1	1	0	2	1	1	11	2	1	1	9	13	5	1	9	5	15	0	7	7	7
OG0000191	14	2	0	6	1	3	17	5	3	3	0	0	5	3	0	3	0	2	2	2	2
OG0000192	6	5	5	10	7	6	22	9	6	5	0	0	9	6	0	6	1	0	2	1	2
OG0000193	4	2	0	2	10	4	3	2	4	2	2	5	3	3	3	3	7	1	3	3	3
OG0000194	4	4	5	6	4	4	4	5	4	4	5	5	5	4	5	5	11	3	5	6	5
OG0000195	0	0	0	10	1	0	14	6	1	0	2	2	6	1	2	3	18	0	3	3	3
OG0000197	5	7	2	17	6	5	4	5	5	0	4	2	4	4	4	4	2	7	4	4	4
OG0000198	4	4	8	6	5	4	6	6	4	4	6	5	6	4	5	5	0	3	5	3	5
OG0000199	3	3	6	6	7	3	7	6	5	5	6	6	6	5	6	6	1	7	6	6	6
OG0000200	5	5	5	5	5	5	6	5	5	5	5	5	5	5	5	5	7	6	5	6	5
OG0000201	2	2	11	20	2	2	4	11	2	2	3	3	5	2	3	4	4	5	4	4	4
OG0000203	14	11	0	0	13	13	1	0	13	14	0	0	1	12	0	2	0	1	1	1	1
OG0000204	3	8	5	8	6	6	7	6	6	5	3	0	6	6	3	6	1	10	5	5	5
