#FamilyID	pvalue	Significant at 0.05
OG0001089	0.977	n
OG0001090	0.129	n
OG0001091	0.029	y
OG0001092	0.28	n
OG0001093	0.977	n
OG0001094	0.721	n
OG0001095	0.882	n
OG0001096	0.999	n
OG0001098	0.862	n
OG0001100	0.665	n
OG0001101	0.471	n
OG0001102	0.08	n
OG0001103	0.7	n
OG0001104	0.928	n
OG0001105	0.654	n
OG0001106	0.204	n
OG0001107	0.48	n
OG0001108	0.028	y
OG0001109	0.133	n
OG0001110	0.958	n
OG0001111	0.742	n
OG0001112	0.431	n
OG0001113	0.947	n
OG0001114	0.59	n
OG0001116	0.91	n
OG0001117	0.958	n
OG0001119	0.222	n
OG0001122	0.074	n
OG0001123	0.413	n
OG0001124	0.814	n
OG0001125	0	y
OG0001129	0	y
OG0001130	0.004	y
OG0001131	0	y
OG0001138	0.707	n
OG0001140	0.083	n
OG0001141	0.922	n
OG0001142	0.006	y
OG0001143	0.977	n
OG0001144	0.958	n
OG0001145	0.813	n
OG0001146	0.314	n
OG0001147	0.413	n
OG0001148	0.901	n
OG0001149	0.977	n
OG0001150	0.318	n
OG0001151	0.552	n
OG0001152	0.977	n
OG0001153	0.901	n
OG0001154	0.613	n
OG0001155	0.732	n
OG0001156	0.534	n
OG0001157	0.767	n
OG0001158	0.798	n
OG0001159	0.159	n
OG0001160	0.11	n
OG0001161	0.509	n
OG0001162	0.343	n
OG0001163	0.977	n
OG0001164	0.977	n
OG0001165	0.105	n
OG0001166	0.117	n
OG0001167	0.922	n
OG0001168	0.897	n
OG0001169	0.878	n
OG0001170	0.576	n
OG0001171	0.977	n
OG0001172	0.88	n
OG0001173	0.828	n
OG0001174	0.351	n
OG0001175	0.958	n
OG0001176	0.928	n
OG0001177	0.984	n
OG0001178	0.685	n
OG0001179	0.358	n
OG0001180	0.742	n
OG0001181	0.977	n
OG0001182	0.979	n
OG0001183	0.039	y
OG0001184	0.977	n
OG0001185	0.689	n
OG0001186	0.977	n
OG0001187	0.977	n
OG0001188	0.04	y
OG0001189	0.204	n
OG0001191	0.368	n
OG0001192	0	y
OG0001193	0.1	n
OG0001194	0.334	n
OG0001195	0.158	n
OG0001196	0.159	n
OG0001197	0.025	y
OG0001198	0.842	n
OG0001199	0	y
OG0001210	0	y
OG0001213	0	y
OG0001217	0.936	n
OG0001218	0.946	n
OG0001219	0.977	n
OG0001220	0.958	n
OG0001221	0.965	n
OG0001222	0.813	n
OG0001223	0.999	n
OG0001224	0.958	n
OG0001225	0.9	n
OG0001226	0.981	n
OG0001227	0.977	n
OG0001228	0.871	n
OG0001230	0.922	n
OG0001231	0.773	n
OG0001232	0.948	n
OG0001233	0.707	n
OG0001234	0.897	n
OG0001235	0.686	n
OG0001236	0.994	n
