#FamilyID	Gamma Cat Mean	Likelihood of Category	Likelihood of Family	Posterior Probability	Significant
OG0000248	0.0381341	3.7779e-60	1.84988e-24	2.04224e-36	N/S
OG0000248	1.96187	1.84988e-24	1.84988e-24	1	*
OG0000250	0.0381341	6.0874e-36	4.04015e-17	1.50673e-19	N/S
OG0000250	1.96187	4.04015e-17	4.04015e-17	1	*
OG0000252	0.0381341	9.41487e-74	2.14058e-29	4.39828e-45	N/S
OG0000252	1.96187	2.14058e-29	2.14058e-29	1	*
OG0000253	0.0381341	2.99625e-27	4.16865e-14	7.18757e-14	N/S
OG0000253	1.96187	4.16865e-14	4.16865e-14	1	*
OG0000255	0.0381341	3.05925e-37	1.16296e-15	2.63058e-22	N/S
OG0000255	1.96187	1.16296e-15	1.16296e-15	1	*
OG0000257	0.0381341	5.5218e-21	3.0707e-12	1.79822e-09	N/S
OG0000257	1.96187	3.0707e-12	3.0707e-12	1	*
OG0000259	0.0381341	2.6621e-35	9.10672e-17	2.92322e-19	N/S
OG0000259	1.96187	9.10672e-17	9.10672e-17	1	*
OG0000260	0.0381341	2.75404e-54	9.20549e-22	2.99174e-33	N/S
OG0000260	1.96187	9.20549e-22	9.20549e-22	1	*
OG0000261	0.0381341	6.62352e-30	2.96896e-14	2.23093e-16	N/S
OG0000261	1.96187	2.96896e-14	2.96896e-14	1	*
OG0000263	0.0381341	2.08242e-25	1.66124e-12	1.25353e-13	N/S
OG0000263	1.96187	1.66124e-12	1.66124e-12	1	*
OG0000264	0.0381341	2.15534e-88	1.85613e-31	1.1612e-57	N/S
OG0000264	1.96187	1.85613e-31	1.85613e-31	1	*
OG0000266	0.0381341	2.28835e-31	1.39564e-14	1.63964e-17	N/S
OG0000266	1.96187	1.39564e-14	1.39564e-14	1	*
OG0000270	0.0381341	2.90687e-39	7.96177e-19	3.65103e-21	N/S
OG0000270	1.96187	7.96177e-19	7.96177e-19	1	*
OG0000272	0.0381341	1.70435e-23	4.57891e-13	3.72216e-11	N/S
OG0000272	1.96187	4.57891e-13	4.57891e-13	1	*
OG0000275	0.0381341	9.45647e-23	2.02875e-12	4.66123e-11	N/S
OG0000275	1.96187	2.02875e-12	2.02875e-12	1	*
OG0000280	0.0381341	2.11017e-34	3.03329e-17	6.95673e-18	N/S
OG0000280	1.96187	3.03329e-17	3.03329e-17	1	*
OG0000282	0.0381341	4.98939e-38	8.04071e-17	6.20517e-22	N/S
OG0000282	1.96187	8.04071e-17	8.04071e-17	1	*
OG0000283	0.0381341	5.16579e-31	7.94671e-15	6.50054e-17	N/S
OG0000283	1.96187	7.94671e-15	7.94671e-15	1	*
OG0000285	0.0381341	8.18311e-141	4.77589e-46	1.71342e-95	N/S
OG0000285	1.96187	4.77589e-46	4.77589e-46	1	*
OG0000287	0.0381341	3.37458e-24	1.25183e-12	2.69571e-12	N/S
OG0000287	1.96187	1.25183e-12	1.25183e-12	1	*
OG0000288	0.0381341	3.51947e-61	9.32025e-23	3.77616e-39	N/S
OG0000288	1.96187	9.32025e-23	9.32025e-23	1	*
