FamilyID,PX439<0>,PX356<1>,CBRIG<2>,CNIGO<3>,PX506<4>,<5>,CSINI<6>,<7>,<8>,CLATE<9>,JU1373<10>,NIC58<11>,<12>,<13>,<14>,<15>,CINOP<16>,CELEG<17>,<18>,<19>,<20>
OG0000053,1,-2,-7,11,0,0,3,0,0,-5,0,0,3,-1,-1,1,-9,11,0,0,0
OG0000054,-1,1,-1,3,0,0,0,1,0,-6,-1,0,2,0,0,0,-4,1,0,-1,0
OG0000055,-1,0,0,-6,1,-3,13,-1,0,-3,0,2,1,-5,3,-1,-10,11,0,0,0
OG0000058,0,3,-11,42,-1,0,2,1,0,-2,0,2,4,-5,2,0,-1,0,2,-4,0
OG0000060,3,-1,-1,0,2,0,1,-1,2,-7,0,0,0,0,2,0,-4,0,0,0,0
OG0000061,0,0,-2,14,2,0,-4,1,0,-2,0,8,0,-3,12,-4,6,-10,0,0,0
OG0000062,-2,2,0,2,8,0,-5,0,3,0,0,-1,-1,9,-2,3,1,-2,0,0,0
OG0000064,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,-4,3,0,0,0
OG0000066,-6,0,1,-1,1,0,5,0,0,-3,0,0,3,-1,-1,0,-5,4,0,0,0
OG0000068,-3,0,1,-6,4,-1,5,0,0,-4,-1,1,1,-3,0,0,-8,9,0,0,0
OG0000069,0,2,-2,0,-1,1,1,-2,0,2,0,-1,-1,7,0,2,-2,0,0,-2,0
OG0000075,0,-2,1,-2,5,-2,12,0,0,-4,1,0,4,-4,1,0,-2,0,1,-4,0
OG0000076,0,0,0,2,0,0,-1,0,0,0,-1,1,0,-1,0,-1,86,-9,-2,5,0
OG0000077,0,-1,-1,6,3,-4,0,1,0,-1,0,-1,2,-3,0,0,-3,3,0,0,0
OG0000081,-4,0,1,-1,2,0,3,0,0,-4,-1,-1,1,-1,-1,0,-4,10,0,0,0
OG0000082,0,0,-2,7,0,-1,6,0,0,-1,1,-1,8,-1,-1,1,-2,0,0,-2,0
OG0000083,1,0,-4,2,0,0,2,0,0,0,0,2,1,0,0,0,-1,0,2,-6,0
OG0000084,0,0,1,-1,0,-1,3,0,0,-1,-3,0,0,-3,0,0,0,2,0,0,0
OG0000086,-1,9,-1,0,-3,1,5,-6,0,1,5,-2,0,0,1,0,-3,0,1,-3,0
OG0000087,2,0,-4,0,-1,0,4,-3,0,3,-1,0,0,4,-1,3,-1,0,1,-3,0
