Desc	Family	JU1373	NIC58	PX356	PX439	PX506	CLATE	CBRIG	CELEG	CINOP	CNIGO	CSINI
null	OG0000322	0	0	0	0	0	0	1	0	0	1	52
null	OG0000323	0	0	0	0	0	0	0	52	2	0	0
null	OG0000324	0	0	0	0	0	0	0	0	0	0	54
null	OG0000325	3	3	2	7	5	1	3	0	0	7	14
null	OG0000326	3	4	4	2	5	3	3	5	1	3	8
null	OG0000327	1	1	6	9	5	3	2	0	1	4	10
null	OG0000328	2	2	4	4	4	4	2	1	17	2	1
null	OG0000329	0	0	9	8	11	10	0	0	0	1	2
null	OG0000330	4	4	5	5	5	5	3	1	1	3	8
null	OG0000331	2	2	0	0	2	0	10	7	0	11	12
null	OG0000332	4	5	2	3	3	3	5	4	2	4	9
null	OG0000333	4	5	3	1	1	3	3	8	0	7	10
null	OG0000334	3	3	6	4	7	5	1	2	1	1	12
null	OG0000335	4	3	1	0	3	2	9	4	1	6	10
null	OG0000336	1	1	11	3	10	5	1	1	0	2	1
null	OG0000337	0	0	9	9	15	6	0	0	0	0	0
null	OG0000338	0	0	0	0	0	0	0	0	52	0	0
null	OG0000339	2	3	14	2	5	3	1	3	0	5	1
null	OG0000340	1	1	8	6	5	6	0	0	0	3	8
null	OG0000341	1	1	2	2	2	1	9	4	1	10	12
null	OG0000342	5	6	2	1	3	0	4	5	2	4	9
null	OG0000343	3	3	4	3	4	6	3	1	0	6	4
null	OG0000344	3	3	4	5	4	5	3	5	2	4	3
null	OG0000345	23	28	0	0	0	0	0	0	0	0	0
null	OG0000346	2	3	3	1	4	1	5	2	9	1	9
null	OG0000347	1	2	6	10	3	4	4	5	1	3	1
null	OG0000348	0	0	4	18	0	1	0	0	0	6	8
null	OG0000349	0	0	7	5	7	6	1	0	0	4	11
null	OG0000350	1	1	3	2	3	3	3	1	0	3	21
null	OG0000351	2	2	4	3	5	5	3	6	1	2	6
null	OG0000352	3	3	4	4	4	4	3	6	2	4	3
null	OG0000353	2	4	4	4	4	2	3	3	5	4	6
null	OG0000354	4	4	4	2	4	2	6	6	3	4	5
null	OG0000355	3	3	3	2	3	2	9	3	1	7	5
null	OG0000356	6	5	1	1	3	2	7	0	0	6	15
null	OG0000357	1	1	4	4	4	4	4	1	1	6	9
null	OG0000358	1	1	3	3	4	0	5	14	0	7	3
null	OG0000359	0	1	12	6	0	3	0	0	0	0	0
null	OG0000360	0	0	6	6	1	12	0	2	0	5	5
null	OG0000361	0	0	8	11	12	8	1	0	0	0	2
null	OG0000362	0	0	0	0	0	0	0	0	50	0	0
null	OG0000363	0	0	0	0	0	0	0	0	0	0	50
null	OG0000364	3	3	3	3	3	4	3	3	5	4	3
null	OG0000365	2	4	3	2	4	1	3	13	4	0	5
null	OG0000366	2	3	4	4	5	4	2	1	0	2	10
null	OG0000367	3	5	4	3	4	3	4	1	1	5	5
null	OG0000368	3	2	4	4	4	3	4	5	2	6	2
null	OG0000369	5	5	1	2	2	0	4	9	0	7	6
null	OG0000370	4	4	3	3	4	3	5	5	2	4	5
null	OG0000371	0	3	0	0	0	0	1	0	0	14	4
null	OG0000372	0	0	3	4	3	2	0	3	0	2	22
null	OG0000373	0	0	0	0	0	0	9	0	0	39	1
null	OG0000374	0	0	0	0	0	0	0	1	48	0	0
null	OG0000375	4	3	4	4	3	4	3	4	1	4	7
null	OG0000376	6	5	4	5	7	2	0	3	0	3	1
null	OG0000377	1	1	3	6	7	5	4	0	0	5	6
null	OG0000378	4	5	6	3	5	2	3	3	1	3	5
null	OG0000379	2	1	4	3	3	3	2	5	6	2	8
null	OG0000380	2	3	3	1	4	2	6	8	1	2	6
null	OG0000381	3	3	3	5	4	3	6	3	1	6	4
null	OG0000382	2	2	6	2	1	1	0	0	1	12	5
null	OG0000383	3	3	4	3	2	5	3	2	2	4	5
null	OG0000384	3	3	1	2	2	1	7	4	3	6	5
