Desc	Family	PX356	PX439	CLATE	JU1373	NIC58	PX506	CBREN	CBRIG	CELEG	CINOP	CNIGO	CSINI
null	OG0000243	3	3	0	3	3	4	1	6	10	0	2	14
null	OG0000244	7	7	6	1	1	9	9	1	0	0	5	11
null	OG0000245	0	0	0	0	0	0	0	1	0	0	62	0
null	OG0000246	0	0	0	0	0	0	0	8	0	0	55	0
null	OG0000247	10	2	5	1	2	10	2	3	1	1	7	4
null	OG0000248	3	1	1	4	3	4	13	3	4	0	12	11
null	OG0000249	4	4	7	0	0	5	7	4	0	0	19	7
null	OG0000250	3	9	8	4	3	7	2	3	2	2	5	3
null	OG0000251	2	11	14	0	0	11	2	3	0	0	4	3
null	OG0000252	7	3	4	2	2	7	4	0	0	2	11	14
null	OG0000253	4	6	6	4	4	3	8	3	3	1	6	6
null	OG0000254	0	0	0	31	31	0	0	0	0	0	0	0
null	OG0000255	3	3	2	3	4	4	4	8	10	1	7	7
null	OG0000256	5	5	3	0	0	24	12	0	0	0	0	0
null	OG0000257	6	6	6	5	5	6	2	8	3	3	7	2
null	OG0000258	9	4	3	1	0	6	2	3	0	0	11	14
null	OG0000259	4	4	2	5	5	7	4	5	9	0	5	6
null	OG0000260	7	8	19	1	1	6	3	1	2	1	3	2
null	OG0000261	7	7	5	6	8	7	0	2	3	0	4	5
null	OG0000262	9	22	2	1	1	0	4	0	0	0	4	5
null	OG0000263	6	6	5	2	1	9	4	3	2	3	3	5
null	OG0000264	2	1	1	0	0	2	3	7	1	0	14	28
null	OG0000265	9	3	9	0	0	15	1	0	0	0	0	1
null	OG0000266	8	7	8	4	4	10	0	3	2	1	4	1
null	OG0000267	0	0	0	29	31	0	0	0	0	0	0	0
null	OG0000268	0	0	0	0	0	0	0	22	0	0	38	0
null	OG0000269	0	0	0	0	0	0	0	0	58	2	0	0
null	OG0000270	4	2	2	2	3	10	10	5	3	0	3	4
null	OG0000271	8	8	9	3	3	13	1	0	0	0	1	6
null	OG0000272	5	3	4	4	3	6	5	5	5	3	7	3
null	OG0000273	1	7	0	9	10	0	5	0	0	0	9	9
null	OG0000274	4	11	0	0	0	37	0	0	0	0	0	0
null	OG0000275	4	5	2	3	4	4	6	6	3	3	6	9
null	OG0000276	4	5	4	3	4	20	0	0	0	0	1	1
null	OG0000277	0	0	1	0	0	0	0	0	0	0	58	0
null	OG0000278	0	0	0	27	32	0	0	0	0	0	0	0
null	OG0000279	8	1	4	0	0	14	0	0	0	0	0	0
null	OG0000280	3	1	3	5	5	5	7	5	6	0	8	5
null	OG0000281	2	1	4	2	2	17	7	0	0	0	0	6
null	OG0000282	4	5	4	3	4	5	3	3	5	0	8	9
null	OG0000283	5	4	3	4	5	3	8	4	0	3	4	10
null	OG0000284	0	0	0	28	28	0	0	0	0	0	1	1
null	OG0000285	0	0	0	0	0	0	1	0	0	56	1	0
null	OG0000286	0	0	0	0	0	0	0	7	0	0	35	16
null	OG0000287	5	7	8	4	4	6	3	3	2	2	4	2
